Police Beat,CRIME_TYPE,CRIME_DESCRIPTION,STAT_VALUE,REPORT_DATE
E3,Assault,Assault,9,09/01/2012
E3,Larceny-Theft,Larceny-Theft,22,09/01/2012
E3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,09/01/2012
E3,Burglary,Burglary,3,09/01/2012
K2,Homicide,Homicide,0,09/01/2012
K2,Rape,Rape,1,09/01/2012
K2,Robbery,Robbery,9,09/01/2012
K2,Assault,Assault,3,09/01/2012
K2,Larceny-Theft,Larceny-Theft,31,09/01/2012
K2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,09/01/2012
K2,Burglary,Burglary,5,09/01/2012
K3,Homicide,Homicide,0,09/01/2012
K3,Rape,Rape,0,09/01/2012
K3,Robbery,Robbery,6,09/01/2012
K3,Assault,Assault,10,09/01/2012
K3,Larceny-Theft,Larceny-Theft,57,09/01/2012
K3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,09/01/2012
K3,Burglary,Burglary,3,09/01/2012
G2,Homicide,Homicide,0,09/01/2012
G2,Rape,Rape,0,09/01/2012
G2,Robbery,Robbery,2,09/01/2012
G2,Assault,Assault,1,09/01/2012
G2,Larceny-Theft,Larceny-Theft,20,09/01/2012
G2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",2,09/01/2012
G2,Burglary,Burglary,4,09/01/2012
C1,Homicide,Homicide,0,09/01/2012
C1,Rape,Rape,1,09/01/2012
C1,Robbery,Robbery,0,09/01/2012
C1,Assault,Assault,2,09/01/2012
C1,Larceny-Theft,Larceny-Theft,35,09/01/2012
C1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,09/01/2012
C1,Burglary,Burglary,15,09/01/2012
O1,Homicide,Homicide,0,09/01/2012
O1,Rape,Rape,1,09/01/2012
O1,Robbery,Robbery,4,09/01/2012
O1,Assault,Assault,3,09/01/2012
O1,Larceny-Theft,Larceny-Theft,23,09/01/2012
O1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,09/01/2012
O1,Burglary,Burglary,8,09/01/2012
R1,Homicide,Homicide,0,09/01/2012
R1,Rape,Rape,0,09/01/2012
R1,Robbery,Robbery,2,09/01/2012
R1,Assault,Assault,2,09/01/2012
R1,Larceny-Theft,Larceny-Theft,23,09/01/2012
R1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,09/01/2012
R1,Burglary,Burglary,11,09/01/2012
B1,Homicide,Homicide,0,09/01/2012
B1,Rape,Rape,0,09/01/2012
B1,Robbery,Robbery,3,09/01/2012
B1,Assault,Assault,3,09/01/2012
B1,Larceny-Theft,Larceny-Theft,15,09/01/2012
B1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,09/01/2012
B1,Burglary,Burglary,11,09/01/2012
R3,Homicide,Homicide,0,09/01/2012
C3,Homicide,Homicide,0,09/01/2012
C3,Rape,Rape,0,09/01/2012
C3,Robbery,Robbery,1,09/01/2012
C3,Assault,Assault,0,09/01/2012
C3,Larceny-Theft,Larceny-Theft,20,09/01/2012
C3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,09/01/2012
F3,Homicide,Homicide,0,09/01/2012
R2,Burglary,Burglary,11,09/01/2012
R2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,09/01/2012
R2,Larceny-Theft,Larceny-Theft,16,09/01/2012
R2,Assault,Assault,11,09/01/2012
R2,Robbery,Robbery,1,09/01/2012
R2,Rape,Rape,0,09/01/2012
R2,Homicide,Homicide,0,09/01/2012
C3,Burglary,Burglary,12,09/01/2012
D2,Homicide,Homicide,0,09/01/2012
D2,Rape,Rape,0,09/01/2012
D2,Robbery,Robbery,3,09/01/2012
D2,Assault,Assault,4,09/01/2012
D2,Larceny-Theft,Larceny-Theft,43,09/01/2012
D2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,09/01/2012
O2,Burglary,Burglary,18,09/01/2012
O2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",3,09/01/2012
O2,Larceny-Theft,Larceny-Theft,26,09/01/2012
O2,Assault,Assault,2,09/01/2012
O2,Robbery,Robbery,2,09/01/2012
O2,Rape,Rape,0,09/01/2012
O2,Homicide,Homicide,0,09/01/2012
D2,Burglary,Burglary,7,09/01/2012
E1,Homicide,Homicide,0,09/01/2012
E1,Rape,Rape,0,09/01/2012
E1,Robbery,Robbery,2,09/01/2012
E1,Assault,Assault,7,09/01/2012
E1,Larceny-Theft,Larceny-Theft,19,09/01/2012
M2,Burglary,Burglary,3,09/01/2012
J3,Burglary,Burglary,13,09/01/2012
J3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",13,09/01/2012
J3,Larceny-Theft,Larceny-Theft,29,09/01/2012
J3,Assault,Assault,7,09/01/2012
J3,Robbery,Robbery,2,09/01/2012
J3,Rape,Rape,1,09/01/2012
W2,Homicide,Homicide,0,08/01/2012
M1,Homicide,Homicide,0,08/01/2012
M1,Rape,Rape,0,08/01/2012
M1,Robbery,Robbery,4,08/01/2012
M1,Assault,Assault,10,08/01/2012
M1,Larceny-Theft,Larceny-Theft,29,08/01/2012
M1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,08/01/2012
M1,Burglary,Burglary,4,08/01/2012
F3,Homicide,Homicide,0,08/01/2012
W3,Burglary,Burglary,17,08/01/2012
W3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,08/01/2012
W3,Larceny-Theft,Larceny-Theft,54,08/01/2012
W3,Assault,Assault,4,08/01/2012
W3,Robbery,Robbery,2,08/01/2012
W3,Rape,Rape,0,08/01/2012
W3,Homicide,Homicide,0,08/01/2012
F1,Burglary,Burglary,8,08/01/2012
F1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,08/01/2012
F1,Larceny-Theft,Larceny-Theft,28,08/01/2012
F1,Assault,Assault,2,08/01/2012
F1,Robbery,Robbery,2,08/01/2012
F1,Rape,Rape,0,08/01/2012
F1,Homicide,Homicide,0,08/01/2012
W2,Burglary,Burglary,13,08/01/2012
W2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,08/01/2012
W2,Larceny-Theft,Larceny-Theft,40,08/01/2012
W2,Assault,Assault,1,08/01/2012
W2,Robbery,Robbery,0,08/01/2012
W2,Rape,Rape,0,08/01/2012
W1,Burglary,Burglary,10,08/01/2012
W1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,08/01/2012
W1,Larceny-Theft,Larceny-Theft,20,08/01/2012
W1,Assault,Assault,3,08/01/2012
W1,Robbery,Robbery,2,08/01/2012
W1,Rape,Rape,0,08/01/2012
W1,Homicide,Homicide,0,08/01/2012
S3,Burglary,Burglary,11,08/01/2012
S3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",3,08/01/2012
S3,Larceny-Theft,Larceny-Theft,42,08/01/2012
S3,Assault,Assault,8,08/01/2012
S3,Robbery,Robbery,5,08/01/2012
S3,Rape,Rape,0,08/01/2012
S3,Homicide,Homicide,0,08/01/2012
S2,Burglary,Burglary,15,08/01/2012
S2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,08/01/2012
S2,Larceny-Theft,Larceny-Theft,14,08/01/2012
S2,Assault,Assault,11,08/01/2012
S2,Robbery,Robbery,5,08/01/2012
S2,Rape,Rape,0,08/01/2012
S2,Homicide,Homicide,0,08/01/2012
S1,Burglary,Burglary,8,08/01/2012
S1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",1,08/01/2012
S1,Larceny-Theft,Larceny-Theft,28,08/01/2012
S1,Assault,Assault,4,08/01/2012
S1,Robbery,Robbery,14,08/01/2012
S1,Rape,Rape,1,08/01/2012
S1,Homicide,Homicide,0,08/01/2012
O3,Burglary,Burglary,9,08/01/2012
O3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",1,08/01/2012
O3,Larceny-Theft,Larceny-Theft,17,08/01/2012
O3,Assault,Assault,1,08/01/2012
O3,Robbery,Robbery,6,08/01/2012
O3,Rape,Rape,0,08/01/2012
O3,Homicide,Homicide,0,08/01/2012
D1,Homicide,Homicide,0,08/01/2012
D1,Rape,Rape,0,08/01/2012
D1,Robbery,Robbery,2,08/01/2012
D1,Assault,Assault,1,08/01/2012
D1,Larceny-Theft,Larceny-Theft,67,08/01/2012
D1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",10,08/01/2012
D1,Burglary,Burglary,11,08/01/2012
R3,Burglary,Burglary,15,08/01/2012
R3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,08/01/2012
R3,Larceny-Theft,Larceny-Theft,26,08/01/2012
R3,Assault,Assault,6,08/01/2012
R3,Robbery,Robbery,4,08/01/2012
R3,Rape,Rape,1,08/01/2012
R3,Homicide,Homicide,0,08/01/2012
R2,Burglary,Burglary,6,08/01/2012
R2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,08/01/2012
R2,Larceny-Theft,Larceny-Theft,11,08/01/2012
R2,Assault,Assault,3,08/01/2012
R2,Robbery,Robbery,7,08/01/2012
R2,Rape,Rape,0,08/01/2012
R2,Homicide,Homicide,0,08/01/2012
O2,Burglary,Burglary,10,08/01/2012
O2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",1,08/01/2012
O2,Larceny-Theft,Larceny-Theft,21,08/01/2012
O2,Assault,Assault,2,08/01/2012
O2,Robbery,Robbery,0,08/01/2012
O2,Rape,Rape,0,08/01/2012
O2,Homicide,Homicide,0,08/01/2012
J3,Burglary,Burglary,14,08/01/2012
J3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",17,08/01/2012
J3,Larceny-Theft,Larceny-Theft,38,08/01/2012
J3,Assault,Assault,3,08/01/2012
J3,Robbery,Robbery,1,08/01/2012
J3,Rape,Rape,0,08/01/2012
J3,Homicide,Homicide,0,08/01/2012
J2,Burglary,Burglary,11,08/01/2012
J2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",13,08/01/2012
J2,Larceny-Theft,Larceny-Theft,56,08/01/2012
J2,Assault,Assault,1,08/01/2012
J2,Robbery,Robbery,1,08/01/2012
J2,Rape,Rape,0,08/01/2012
J2,Homicide,Homicide,0,08/01/2012
U3,Burglary,Burglary,6,08/01/2012
U3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,08/01/2012
U3,Larceny-Theft,Larceny-Theft,27,08/01/2012
U3,Assault,Assault,6,08/01/2012
U3,Robbery,Robbery,1,08/01/2012
U3,Rape,Rape,0,08/01/2012
U3,Homicide,Homicide,0,08/01/2012
U2,Burglary,Burglary,22,08/01/2012
U2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",11,08/01/2012
U2,Larceny-Theft,Larceny-Theft,50,08/01/2012
U2,Assault,Assault,1,08/01/2012
U2,Robbery,Robbery,1,08/01/2012
U2,Rape,Rape,0,08/01/2012
U2,Homicide,Homicide,0,08/01/2012
J1,Burglary,Burglary,12,08/01/2012
J1,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",14,08/01/2012
J1,Larceny-Theft,Larceny-Theft,37,08/01/2012
J1,Assault,Assault,3,08/01/2012
J1,Robbery,Robbery,0,08/01/2012
J1,Rape,Rape,0,08/01/2012
J1,Homicide,Homicide,0,08/01/2012
B3,Burglary,Burglary,13,08/01/2012
B3,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",17,08/01/2012
B3,Larceny-Theft,Larceny-Theft,43,08/01/2012
B3,Assault,Assault,3,08/01/2012
B3,Robbery,Robbery,0,08/01/2012
B3,Rape,Rape,0,08/01/2012
B3,Homicide,Homicide,0,08/01/2012
